SessionID,Date,ItemId,Event
351646,20140401030000.124,214717005,1
351646,20140401030010.087,214716945,3
351646,20140401030000.567,214717005,1
351646,20140401030010.087,214716945,1
351646,20140401030010.087,214716945,1
351646,20140401030010.087,214716945,1
351646,20140401030013.070,214716945,1
351646,20140401030013.768,214717005,3
351646,20140401030020.130,214716945,3
351647,20140401030025.334,214716935,1
351647,20140401030032.610,214716935,1
351647,20140401032032.610,214716935,3
351649,20140401032332.610,214716936,3
351649,20140401032132.610,214716936,1
351649,20140401032132.610,214716936,1
351649,20140401032132.610,214716936,1
351649,20140401032132.610,214716936,1
351649,20140401032132.610,214716936,1
351649,20140401032132.610,214716936,1
351649,20140401032232.610,214716936,1
351649,20140401032332.610,214716936,3
351649,20140401032432.610,214716935,1
351649,20140401032532.610,214716935,1
350650,20140401232432.610,214716955,1
350650,20140401432532.610,214716965,1
351650,20140401532532.610,214716965,3
351650,20140401632432.610,214716955,1
351650,20140401732532.610,214716955,3
351652,20140401832532.610,214716955,3
351652,20140401862532.610,214716955,3
351653,20140403732532.610,214716955,3
351654,20140404732532.610,214716955,3
351655,20140405732532.610,214716955,3
351656,20140406732532.610,214716955,3
351657,20140407732532.610,214716955,3
351657,20140408732532.610,214716955,3
351646,20140401030000.124,214717005,1
351646,20140401030000.567,214717005,1
351646,20140401030010.087,214716945,1
351646,20140401030013.070,214716945,1
351646,20140401030013.768,214717005,3
351646,20140401030020.130,214716945,3
351647,20140401030025.334,214716935,1
351647,20140401030032.610,214716935,1
351647,20140401032032.610,214716935,3
351649,20140401032132.610,214716936,1
351649,20140401032232.610,214716936,1
351649,20140401032332.610,214716936,3
351649,20140401032432.610,214716935,1
351649,20140401032532.610,214716935,1
350650,20140401232432.610,214716955,1
350650,20140401432532.610,214716965,1
351650,20140401532532.610,214716965,3
351650,20140401632432.610,214716955,1
351650,20140401732532.610,214716955,3
351652,20140401832532.610,214716955,3
351652,20140401862532.610,214716955,3
351653,20140403732532.610,214716955,3
351654,20140404732532.610,214716955,3
351655,20140405732532.610,214716955,3
351656,20140406732532.610,214716955,3
351657,20140407732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
351657,20140408732532.610,214716955,3
